,Week,Name1,Score1,Name2,Score2,Type
42,9,Catalina Wine Mixon,96.7,Succop Mi Johnson,102.95,Regular
43,9,CeeDeez D Kupps,142.2,Keep Kamarica Great,123,Regular
44,9,"Julio Think You Are, I Am",90.2,"I suck shit every year, too",137.95,Regular
45,10,CeeDeez D Kupps,96.9,Catalina Wine Mixon,109.8,Regular
46,10,"I suck shit every year, too",97.65,Gurleys Thielen My Chubby,112.55,Regular
47,10,Bourbon Bowl Champs,95.6,Succop Mi Johnson,109.85,Regular
48,10,CMC - 19,125.95,"Julio Think You Are, I Am",77.4,Regular
49,10,Keep Kamarica Great,130.55,I suck shit Every year,94.85,Regular
50,11,"I suck shit every year, too",107.55,Succop Mi Johnson,147.25,Regular
51,11,Bourbon Bowl Champs,122.5,CMC - 19,125,Regular
52,11,"Julio Think You Are, I Am",98.55,CeeDeez D Kupps,188.7,Regular
53,11,Catalina Wine Mixon,122.7,I suck shit Every year,120.55,Regular
54,11,Gurleys Thielen My Chubby,136.8,Keep Kamarica Great,120.6,Regular
55,12,I suck shit Every year,108.05,Bourbon Bowl Champs,170.85,Regular
56,12,CMC - 19,88.2,CeeDeez D Kupps,110,Regular
57,12,Succop Mi Johnson,169.05,Gurleys Thielen My Chubby,160.6,Regular
58,12,"I suck shit every year, too",98,Catalina Wine Mixon,158.45,Regular
59,12,Keep Kamarica Great,140.2,"Julio Think You Are, I Am",83.1,Regular
60,13,Keep Kamarica Great,137,CMC - 19,100.05,Regular
61,13,I suck shit Every year,89.7,"I suck shit every year, too",156.95,Regular
62,13,Catalina Wine Mixon,103.75,Bourbon Bowl Champs,150.25,Regular
63,13,CeeDeez D Kupps,123.25,Succop Mi Johnson,169.85,Regular
64,13,Gurleys Thielen My Chubby,108.15,"Julio Think You Are, I Am",107.85,Regular
65,14,,,Succop Mi Johnson,167.8,Playoff
66,14,Keep Kamarica Great,112.55,CeeDeez D Kupps,107.15,Playoff
67,14,Catalina Wine Mixon,86.55,Gurleys Thielen My Chubby,103.15,Playoff
68,14,,,Bourbon Bowl Champs,131,Playoff
69,14,"Julio Think You Are, I Am",131.2,"I suck shit every year, too",139.7,Consolation
70,14,I suck shit Every year,133.3,CMC - 19,156.05,Consolation
71,15,Keep Kamarica Great,107.4,Succop Mi Johnson,129.25,Playoff
72,15,Gurleys Thielen My Chubby,142.55,Bourbon Bowl Champs,199.25,Playoff
73,15,Catalina Wine Mixon,128.55,CeeDeez D Kupps,102.8,Consolation
74,15,CMC - 19,106.35,"I suck shit every year, too",103.3,Consolation
75,15,I suck shit Every year,131.15,"Julio Think You Are, I Am",70.25,Consolation
76,16,Bourbon Bowl Champs,156.5,Succop Mi Johnson,117.95,Playoff
77,16,Keep Kamarica Great,189.8,Gurleys Thielen My Chubby,143.3,Consolation
78,16,Catalina Wine Mixon,141.6,CeeDeez D Kupps,128.55,Consolation
79,16,I suck shit Every year,105.8,CMC - 19,113.05,Consolation
80,16,"Julio Think You Are, I Am",84.45,"I suck shit every year, too",98.05,Consolation
