,Week,Name1,Score1,Name2,Score2,Type
28,6,Stefon Up and Try Me,182.4,Thielen  A Repeat ,139.05,Regular
29,6,Who's Your Caddy?,101.7,Good JuJu,81.8,Regular
30,7,Good JuJu,97.8,Bourbon Bowl Champs,141.45,Regular
31,7,Doyle’s Hard Seltzers ,65.6,Stefon Up and Try Me,86.6,Regular
32,7,Take a look at  my Chubb,98.45,The Blind Ribeyes,105.75,Regular
33,7,Thielen  A Repeat ,111.35,Who's Your Caddy?,129.95,Regular
34,7,Cookin' on the Conner,153.85,Cosby's Sleeper Picks,105.05,Regular
35,8,Who's Your Caddy?,102.45,Doyle’s Hard Seltzers ,124.75,Regular
36,8,Thielen  A Repeat ,144.2,Take a look at  my Chubb,122.25,Regular
37,8,Bourbon Bowl Champs,169.35,Stefon Up and Try Me,158.4,Regular
38,8,The Blind Ribeyes,146.25,Cookin' on the Conner,142.55,Regular
39,8,Cosby's Sleeper Picks,72.4,Good JuJu,117.1,Regular
40,9,Thielen  A Repeat ,127.3,Doyle’s Hard Seltzers ,96.85,Regular
41,9,Cosby's Sleeper Picks,84.75,Take a look at  my Chubb,168.15,Regular
42,9,Good JuJu,101.8,Cookin' on the Conner,137.15,Regular
43,9,The Blind Ribeyes,146.75,Stefon Up and Try Me,118.45,Regular
44,9,Bourbon Bowl Champs,102.55,Who's Your Caddy?,113.65,Regular
45,10,The Blind Ribeyes,167.35,Good JuJu,108,Regular
46,10,Who's Your Caddy?,90.35,Stefon Up and Try Me,117.95,Regular
47,10,Take a look at  my Chubb,110.7,Bourbon Bowl Champs,126.1,Regular
48,10,Cosby's Sleeper Picks,126.65,Thielen  A Repeat ,116.6,Regular
49,10,Cookin' on the Conner,134.85,Doyle’s Hard Seltzers ,137.2,Regular
50,11,Thielen  A Repeat ,84.75,Bourbon Bowl Champs,134.85,Regular
51,11,Cookin' on the Conner,107.05,Who's Your Caddy?,109,Regular
52,11,Stefon Up and Try Me,148.3,Cosby's Sleeper Picks,117.7,Regular
53,11,Good JuJu,125.1,Take a look at  my Chubb,96.55,Regular
54,11,The Blind Ribeyes,134.2,Doyle’s Hard Seltzers ,116.75,Regular
55,12,Bourbon Bowl Champs,126.45,Cookin' on the Conner,70,Regular
56,12,Take a look at  my Chubb,93.55,Stefon Up and Try Me,142.05,Regular
57,12,The Blind Ribeyes,153.95,Thielen  A Repeat ,166.7,Regular
58,12,Who's Your Caddy?,101.35,Cosby's Sleeper Picks,79.7,Regular
59,12,Doyle’s Hard Seltzers ,122.15,Good JuJu,116.85,Regular
60,13,Bourbon Bowl Champs,113.55,The Blind Ribeyes,116.05,Regular
61,13,Take a look at  my Chubb,125.3,Who's Your Caddy?,118.5,Regular
62,13,Good JuJu,125.75,Stefon Up and Try Me,83.1,Regular
63,13,Thielen  A Repeat ,90.7,Cookin' on the Conner,113.45,Regular
64,13,Cosby's Sleeper Picks,123.95,Doyle’s Hard Seltzers ,138.45,Regular
65,14,,,The Blind Ribeyes,107.4,Playoff
66,14,Cookin' on the Conner,112.75,Thielen  A Repeat ,99.95,Playoff
67,14,Doyle’s Hard Seltzers ,173.05,Stefon Up and Try Me,98.6,Playoff
68,14,,,Bourbon Bowl Champs,95.55,Playoff
69,14,Take a look at  my Chubb,118.45,Good JuJu,115.2,Playoff
70,14,Cosby's Sleeper Picks,110.8,Who's Your Caddy?,112.2,Playoff
71,15,Cookin' on the Conner,113.95,The Blind Ribeyes,147.1,Playoff
72,15,Doyle’s Hard Seltzers ,134.6,Bourbon Bowl Champs,134.55,Playoff
73,15,Thielen  A Repeat ,151.3,Stefon Up and Try Me,134.35,Playoff
74,15,Who's Your Caddy?,127.25,Take a look at  my Chubb,155.9,Playoff
75,15,Cosby's Sleeper Picks,73.7,Good JuJu,90.35,Playoff
76,16,Doyle’s Hard Seltzers ,161.75,The Blind Ribeyes,104.6,Playoff
77,16,Cookin' on the Conner,90.4,Bourbon Bowl Champs,115.3,Playoff
78,16,Thielen  A Repeat ,129.05,Stefon Up and Try Me,128.6,Playoff
79,16,Take a look at  my Chubb,100.7,Good JuJu,106.8,Playoff
80,16,Cosby's Sleeper Picks,67.45,Who's Your Caddy?,113.95,Playoff
